unixtime,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,,lat,lon,alt,pm1,pm25,pm4,pm10,rh,t,voc,nox,2pm25,2pm10
1747396801,64730.8,3255.8,615.4,288.5,76.9,21.2,,0,0,0,9.7,10.2,10.2,10.2,54.3,22.9,1,1,5,8
1747397401,57232.7,2850,494.2,153.8,17.3,3.8,,0,0,0,8.6,9,9,9,47,23.4,37,1,5,8
1747398001,56007.7,2842.3,538.5,236.5,19.2,5.8,,0,0,0,8.9,9.3,9.3,9.3,46.8,23.7,36,1,7,10
1747398601,57371.2,3126.9,588.5,190.4,17.3,1.9,,0,0,0,9.5,9.9,9.9,9.9,46.6,24,38,1,4,6
1747399202,57509.6,3075,540.4,236.5,21.2,3.8,,0,0,0,9,9.4,9.4,9.4,45.9,24.1,38,1,6,9
1747399801,53273.1,2932.7,523.1,209.6,13.5,1.9,,0,0,0,8.4,8.8,8.8,8.8,45.6,24.3,38,1,6,9
1747400402,50505.8,2617.3,446.2,207.7,19.2,3.8,,0,0,0,7.4,7.8,7.8,7.8,45.4,24.4,36,1,4,6
1747401001,48415.4,2476.9,526.9,192.3,19.2,3.8,,0,0,0,7.6,8,8,8,45.2,24.5,37,1,4,6
1747401601,46761.5,2451.9,488.5,180.8,11.5,0,,0,0,0,7.3,7.7,7.7,7.7,44.9,24.5,36,1,4,6
1747402201,44259.6,2248.1,442.3,140.4,17.3,7.7,,0,0,0,7.1,7.9,8.2,8.4,45.2,24.6,35,1,4,6
1747402801,46719.2,2450,478.8,171.2,13.5,1.9,,0,0,0,7,7.4,7.4,7.4,44.9,24.6,37,1,6,9
1747403401,45598.1,2586.5,423.1,169.2,21.2,5.8,,0,0,0,6.7,7,7,7,45.1,24.6,36,1,7,10
1747404001,43380.8,2259.6,421.2,136.5,15.4,1.9,,0,0,0,6.9,7.2,7.2,7.2,44.2,24.7,38,1,6,9
1747404601,42684.6,2082.7,371.2,165.4,7.7,3.8,,0,0,0,6.3,6.6,6.6,6.6,44.5,24.7,32,1,4,6
1747405201,43944.2,2121.2,401.9,150,21.2,0,,0,0,0,6.4,6.7,6.7,6.7,45.4,24.7,34,1,4,6
1747405801,44744.2,2059.6,451.9,163.5,5.8,0,,0,0,0,7.4,7.7,7.7,7.7,45.6,24.6,34,1,4,6
1747406401,45434.6,2498.1,459.6,180.8,21.2,1.9,,0,0,0,6.8,7.2,7.2,7.2,45.3,24.6,36,1,5,8
1747407001,43698.1,2436.5,484.6,138.5,19.2,0,,0,0,0,7,7.3,7.3,7.3,44.8,24.7,33,1,4,6
1747407601,47380.8,2775,557.7,190.4,15.4,9.6,,0,0,0,8,8.5,8.6,8.6,44.4,24.7,37,1,5,8
1747408202,45617.3,2778.8,528.8,136.5,5.8,1.9,,0,0,0,7.1,7.4,7.4,7.4,44.3,24.7,36,1,5,8
1747408801,47515.4,2938.5,457.7,119.2,17.3,0,,0,0,0,7.2,7.6,7.6,7.6,44,24.7,38,1,4,6
1747409401,45321.2,2813.5,430.8,96.2,5.8,0,,0,0,0,6.5,7.2,7.6,7.7,43.8,24.7,34,1,4,6
1747410001,45250,2700,426.9,98.1,3.8,0,,0,0,0,6.5,7.1,7.3,7.4,43.7,24.7,37,1,4,6
1747410601,42132.7,2438.5,378.8,96.2,1.9,1.9,,0,0,0,6.6,7,7,7,43.5,24.7,35,1,4,6
1747411201,41290.4,2201.9,398.1,59.6,9.6,0,,0,0,0,6.5,6.8,6.8,6.8,43.4,24.7,35,1,3,5
1747411801,41403.8,2244.2,361.5,90.4,3.8,0,,0,0,0,5.7,6,6,6,43.4,24.7,37,1,3,5
1747412401,39642.3,2238.5,396.2,61.5,3.8,0,,0,0,0,6.4,6.8,6.8,6.8,43.2,24.8,38,1,3,5
1747413001,38361.5,2098.1,342.3,94.2,7.7,0,,0,0,0,6.1,6.4,6.4,6.4,43.1,24.7,36,1,3,5
1747413601,37676.9,2044.2,323.1,59.6,1.9,0,,0,0,0,5.8,6,6,6,43,24.8,37,1,3,5
1747414201,38069.2,1951.9,303.8,67.3,0,0,,0,0,0,5.8,6,6,6,43.1,24.8,36,1,3,5
1747414801,36651.9,1780.8,325,48.1,3.8,0,,0,0,0,5.9,6.2,6.2,6.2,42.9,24.8,37,1,2,4
1747415401,36425,1844.2,290.4,75,5.8,0,,0,0,0,5.3,5.6,5.6,5.6,42.9,24.7,36,1,5,8
1747416001,36540.4,1667.3,267.3,48.1,5.8,0,,0,0,0,5.9,6.7,7.2,7.4,42.8,24.7,36,1,3,5
1747416601,35357.7,1611.5,242.3,61.5,1.9,0,,0,0,0,5.8,6.1,6.1,6.1,42.6,24.7,34,1,2,4
1747417201,35575,1644.2,292.3,65.4,0,0,,0,0,0,5.3,5.6,5.6,5.6,42.6,24.7,35,1,3,5
1747417801,35165.4,1715.4,273.1,46.2,1.9,0,,0,0,0,5.6,5.9,5.9,5.9,42.6,24.7,34,1,3,5
1747418401,35040.4,1686.5,305.8,59.6,5.8,0,,0,0,0,5.6,5.9,5.9,5.9,42.5,24.7,35,1,3,5
1747419001,35032.7,1615.4,265.4,55.8,1.9,0,,0,0,0,5.3,5.6,5.6,5.6,42.4,24.7,36,1,3,5
1747419601,34655.8,1709.6,246.2,38.5,1.9,0,,0,0,0,5.2,5.5,5.5,5.5,42.3,24.7,36,1,3,5
1747420201,34178.8,1553.8,261.5,46.2,1.9,0,,0,0,0,5,5.2,5.2,5.2,42.3,24.7,35,1,2,4
1747420801,34496.2,1463.5,296.2,63.5,0,1.9,,0,0,0,4.9,5.1,5.1,5.1,42.3,24.7,36,1,3,5
1747421401,34094.2,1675,257.7,48.1,0,0,,0,0,0,5,5.2,5.2,5.2,42.2,24.7,33,1,4,6
1747422001,34415.4,1507.7,257.7,34.6,0,0,,0,0,0,5.1,5.3,5.3,5.3,42.2,24.7,35,1,3,5
1747422601,34215.4,1611.5,242.3,53.8,1.9,0,,0,0,0,5.3,5.6,5.6,5.6,42.2,24.7,33,1,2,4
1747423201,34388.5,1619.2,217.3,55.8,1.9,0,,0,0,0,5.3,5.6,5.6,5.6,42.2,24.6,38,1,3,5
1747423801,34236.5,1513.5,261.5,57.7,3.8,0,,0,0,0,4.8,5.1,5.1,5.1,42.1,24.7,36,1,3,5
1747424401,34467.3,1634.6,232.7,55.8,0,0,,0,0,0,4.8,5,5,5,42.1,24.7,33,1,3,5
1747425001,34346.2,1580.8,271.2,48.1,1.9,0,,0,0,0,4.8,5.3,5.6,5.7,42.1,24.6,35,1,3,5
1747425601,34401.9,1571.2,217.3,67.3,0,0,,0,0,0,7.3,7.7,7.7,7.7,41.3,24.9,0,0,2,4
1747426201,34348.1,1488.5,250,55.8,1.9,0,,0,0,0,5.2,5.4,5.4,5.4,42,24.7,34,1,3,5
