unixtime,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,,lat,lon,alt,pm1,pm25,pm4,pm10,rh,t,voc,nox,2pm25,2pm10
1746260403,26805.8,2148.1,703.8,536.5,80.8,32.7,,42.13804333,24.75067833,,4.6,4.8,4.8,4.8,28.1,25.8,2,1,5,8
1746261002,26286.5,2028.8,619.2,413.5,90.4,3.8,,42.13804333,24.75067833,228.9,4.3,4.6,4.8,4.8,28.2,26,34,1,6,9
1746261602,27030.8,2142.3,692.3,432.7,84.6,9.6,,42.13804333,24.75067833,228.9,4.1,4.3,4.3,4.3,27.6,26.2,31,1,7,10
1746262202,27575,2161.5,780.8,461.5,59.6,9.6,,42.13804333,24.75067833,228.9,5.2,5.4,5.4,5.4,26.5,27.2,32,1,6,9
1746262802,31061.5,2328.8,746.2,451.9,61.5,9.6,,42.13804333,24.75067833,228.9,5.4,5.6,5.6,5.6,26.7,27.5,36,1,5,8
1746263403,35600,2680.8,951.9,551.9,80.8,13.5,,42.13804333,24.75067833,228.9,5.4,5.6,5.6,5.6,26.2,28,34,1,6,9
1746264002,31369.2,2511.5,788.5,490.4,84.6,11.5,,42.13804333,24.75067833,228.9,4.9,5.1,5.1,5.1,26.8,28.2,31,1,8,12
1746264602,30744.2,2332.7,769.2,482.7,63.5,7.7,,42.13804333,24.75067833,228.9,4.8,5,5,5,27.6,27.2,31,1,7,10
1746265202,30896.2,2323.1,744.2,473.1,71.2,9.6,,42.13804333,24.75067833,228.9,4.3,4.6,4.7,4.8,27,28.4,31,1,6,9
1746265802,29057.7,2309.6,751.9,425,65.4,7.7,,42.13804333,24.75067833,228.9,4.7,4.9,4.9,4.9,27.9,27.9,28,1,5,8
1746266402,29009.6,2076.9,796.2,425,69.2,9.6,,42.13804333,24.75067833,228.9,4.5,4.8,4.8,4.9,26.5,28.8,30,1,6,9
1746267002,40400,2659.6,867.3,494.2,82.7,19.2,,42.13804333,24.75067833,228.9,5.8,6.3,6.4,6.5,26.8,29.4,30,1,7,10
1746267603,38236.5,2580.8,751.9,450,65.4,15.4,,42.13804333,24.75067833,228.9,6.5,7.3,7.7,7.9,27.5,28.3,30,1,7,10
1746268203,43473.1,2759.6,875,469.2,71.2,7.7,,42.13804333,24.75067833,228.9,6.2,6.5,6.5,6.5,26.9,28.8,29,1,6,9
1746268803,50353.8,3053.8,817.3,473.1,86.5,9.6,,42.13804333,24.75067833,228.9,6.9,7.5,7.7,7.9,27.3,28.8,30,1,9,13
1746269402,49763.5,3228.8,775,390.4,82.7,19.2,,42.13804333,24.75067833,228.9,7.9,8.3,8.3,8.3,27.5,28.7,30,1,8,12
1746270003,48367.3,3105.8,861.5,463.5,69.2,13.5,,42.13804333,24.75067833,228.9,7.4,7.7,7.7,7.7,28.1,28.7,31,1,7,10
1746270603,37517.3,2380.8,663.5,390.4,50,9.6,,42.13804333,24.75067833,228.9,5.8,6,6,6,26.6,29,31,1,6,9
1746271202,37553.8,2307.7,676.9,401.9,44.2,3.8,,42.13804333,24.75067833,228.9,5.9,6.2,6.2,6.2,27.6,28.9,29,1,6,9
1746271802,38888.5,2359.6,657.7,357.7,63.5,1.9,,42.13804333,24.75067833,228.9,5.5,5.7,5.7,5.7,27.8,29.2,29,1,5,8
1746272402,31800,1994.2,644.2,338.5,53.8,15.4,,42.13804333,24.75067833,228.9,4.7,4.9,4.9,4.9,27.1,28.9,29,1,4,6
1746273002,33982.7,2159.6,646.2,338.5,61.5,5.8,,42.13804333,24.75067833,228.9,5,5.3,5.3,5.3,27.2,29.3,27,1,4,6
1746273602,31711.5,1836.5,598.1,288.5,26.9,1.9,,42.13804333,24.75067833,228.9,4.8,5.3,5.5,5.6,26.9,29.3,31,1,5,8
1746274202,29784.6,1746.2,601.9,303.8,38.5,5.8,,42.13804333,24.75067833,228.9,4.7,4.9,4.9,4.9,25.7,30,28,1,4,6
1746274802,26121.2,1617.3,523.1,301.9,30.8,1.9,,42.13804333,24.75067833,228.9,4.5,4.7,4.7,4.7,26.5,29.4,30,1,3,5
1746275402,26478.8,1644.2,536.5,303.8,34.6,3.8,,42.13804333,24.75067833,228.9,3.7,3.9,3.9,3.9,25.7,30,29,1,3,5
1746276003,26430.8,1594.2,503.8,282.7,38.5,11.5,,42.13804333,24.75067833,228.9,4,4.2,4.2,4.2,24.8,30.5,31,1,4,6
1746276603,27325,1771.2,573.1,278.8,34.6,15.4,,42.13804333,24.75067833,228.9,4.3,4.5,4.5,4.5,24.2,30.9,31,1,4,6
