unixtime,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,,lat,lon,alt,pm1,pm25,pm4,pm10,rh,t,voc,nox,2pm25,2pm10
1744749602,48686.5,3048.1,403.8,103.8,7.7,0,,42.45819833,24.93708833,,8.8,9.4,9.6,9.7,52.3,14.8,25,1,6,9
1744750203,45513.5,2725,380.8,105.8,11.5,1.9,,42.45825833,24.93705,436.9,7.6,8.1,8.2,8.2,53.1,14.5,31,1,6,9
1744750802,45421.2,2661.5,388.5,119.2,0,0,,42.45822,24.93706333,,7.7,8.4,8.7,8.8,53,14.5,34,1,4,6
1744751403,41353.8,2392.3,369.2,111.5,3.8,0,,42.45828,24.93711,444.4,7.3,7.7,7.9,7.9,53.2,14.4,34,1,4,6
1744752002,39192.3,2225,359.6,92.3,7.7,0,,42.45826,24.93713833,446.2,6.4,6.7,6.7,6.7,53,14.4,32,1,4,6
1744752602,35369.2,2088.5,305.8,84.6,3.8,0,,42.45819,24.93719667,448.8,5.8,6.3,6.4,6.5,53.2,14.2,32,1,5,8
1744753202,32413.5,1744.2,321.2,82.7,9.6,0,,42.458245,24.93717333,448.3,5.7,6.3,6.5,6.6,53.1,14.2,32,1,3,5
1744753801,29865.4,1615.4,296.2,78.8,7.7,0,,42.458245,24.93715,,5.1,5.4,5.4,5.4,53,14.2,29,1,3,5
1744754402,28211.5,1586.5,246.2,84.6,5.8,0,,42.458245,24.93715,449.6,4.7,5,5,5,52.9,14.1,32,1,3,5
1744755002,26476.9,1378.8,250,71.2,9.6,0,,42.45817333,24.93705,452.9,4.7,4.9,4.9,4.9,53,14.1,30,1,3,5
1744755601,25244.2,1361.5,213.5,78.8,3.8,0,,42.45824,24.93714,,4.2,4.7,5,5.1,53,14,30,1,2,4
1744756202,24005.8,1305.8,265.4,53.8,1.9,0,,42.45818333,24.93714,452,3.9,4.1,4.1,4.1,53,14,33,1,2,4
1744756803,24146.2,1278.8,184.6,82.7,0,0,,42.45835667,24.93714333,453.3,3.6,3.8,3.8,3.8,53.1,13.9,34,1,2,4
1744757401,26130.8,1432.7,248.1,65.4,1.9,1.9,,42.45821167,24.93717167,,3.8,4,4,4,53.1,14,32,1,3,5
1744758003,26517.3,1532.7,251.9,82.7,5.8,0,,42.45820333,24.93716333,449.4,4.3,4.7,4.9,5,53.4,13.9,34,1,3,5
1744758602,27346.2,1690.4,242.3,63.5,5.8,0,,42.45825,24.93707167,450.8,4.3,4.6,4.7,4.7,53.4,13.9,33,1,3,5
1744759202,27176.9,1509.6,263.5,84.6,0,0,,42.45822667,24.93716,448.9,4.4,4.9,5.2,5.3,53.4,13.9,32,1,3,5
1744759802,27650,1507.7,269.2,84.6,1.9,0,,42.45825333,24.93714333,450.6,5,5.2,5.2,5.2,53.5,13.9,31,1,3,5
1744760402,27450,1565.4,248.1,80.8,5.8,0,,42.45830667,24.93717667,449.1,4.3,4.7,4.8,4.9,53.7,13.9,30,1,4,6
1744761002,27628.8,1588.5,257.7,76.9,3.8,1.9,,42.45822667,24.937225,453.7,3.9,4.1,4.1,4.1,54,13.8,32,1,3,5
1744761602,27094.2,1551.9,271.2,105.8,3.8,0,,42.458165,24.93710667,459.1,4.9,5.2,5.2,5.2,53.8,13.8,32,1,3,5
1744762203,27251.9,1469.2,275,73.1,3.8,0,,42.458215,24.93713333,460.6,4.4,4.7,4.8,4.8,53.7,13.8,33,1,4,6
1744762802,26798.1,1532.7,296.2,71.2,7.7,0,,42.45819,24.93720667,456,4.3,4.5,4.5,4.5,53.6,13.7,32,1,2,4
1744763401,26375,1536.5,265.4,65.4,0,0,,42.45827667,24.93707667,,4.7,5.3,5.5,5.6,53.4,13.7,29,1,2,4
1744764002,26000,1419.2,253.8,67.3,3.8,0,,42.458205,24.93716333,452.9,4,4.2,4.2,4.2,53.3,13.7,33,1,4,6
1744764602,25071.2,1523.1,278.8,84.6,0,0,,42.45829333,24.93712,,3.8,4,4,4,53.2,13.7,31,1,2,4
1744765202,24971.2,1488.5,228.8,73.1,0,0,,42.458255,24.93720667,453.8,4.6,4.8,4.8,4.8,53.2,13.7,31,1,3,5
1744765802,24861.5,1444.2,265.4,92.3,1.9,0,,42.45817833,24.93723,450.4,4,4.4,4.6,4.7,53.3,13.6,30,1,2,4
1744766402,24686.5,1357.7,238.5,82.7,5.8,0,,42.45822333,24.93713667,,3.8,4,4,4,53.1,13.6,34,1,,
